"区分","課程別学校数","課程数","課程別修業年限別生徒数_計_計","課程別修業年限別生徒数_計_男","課程別修業年限別生徒数_計_女","課程別修業年限別生徒数_修業年限１年未満の課程_計","課程別修業年限別生徒数_修業年限１年未満の課程_男","課程別修業年限別生徒数_修業年限１年未満の課程_女","課程別修業年限別生徒数_修業年限１年以上の課程_計","課程別修業年限別生徒数_修業年限１年以上の課程_男","課程別修業年限別生徒数_修業年限１年以上の課程_女","入学者数_計_計","入学者数_計_男","入学者数_計_女"
"計","34.0","40.0","2358.0","1144.0","1214.0","1467.0","796.0","671.0","891.0","348.0","543.0","673.0","360.0","313.0"
"工業関係","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"農業関係","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"医療関係","1.0","1.0","58.0","14.0","44.0","0.0","0.0","0.0","58.0","14.0","44.0","30.0","7.0","23.0"
"医療関係_准看護","1.0","1.0","58.0","14.0","44.0","0.0","0.0","0.0","58.0","14.0","44.0","30.0","7.0","23.0"
"衛生関係","1.0","1.0","17.0","4.0","13.0","0.0","0.0","0.0","17.0","4.0","13.0","0.0","0.0","0.0"
"衛生関係_美容","1.0","1.0","17.0","4.0","13.0","0.0","0.0","0.0","17.0","4.0","13.0","0.0","0.0","0.0"
"教育・社会福祉関係","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"商業実務関係","19.0","19.0","806.0","318.0","488.0","135.0","49.0","86.0","671.0","269.0","402.0","131.0","56.0","75.0"
"商業実務関係_経理・簿記","7.0","7.0","388.0","155.0","233.0","39.0","13.0","26.0","349.0","142.0","207.0","52.0","18.0","34.0"
"商業実務関係_ビジネス","1.0","1.0","49.0","40.0","9.0","0.0","0.0","0.0","49.0","40.0","9.0","18.0","16.0","2.0"
"商業実務関係_その他","11.0","11.0","369.0","123.0","246.0","96.0","36.0","60.0","273.0","87.0","186.0","61.0","22.0","39.0"
"家政関係","5.0","10.0","142.0","5.0","137.0","82.0","5.0","77.0","60.0","0.0","60.0","98.0","4.0","94.0"
"家政関係_和洋裁","3.0","8.0","117.0","0.0","117.0","60.0","0.0","60.0","57.0","0.0","57.0","79.0","0.0","79.0"
"家政関係_料理","2.0","2.0","25.0","5.0","20.0","22.0","5.0","17.0","3.0","0.0","3.0","19.0","4.0","15.0"
"文化・教養関係","1.0","1.0","90.0","75.0","15.0","30.0","26.0","4.0","60.0","49.0","11.0","17.0","15.0","2.0"
"文化・教養関係_その他","1.0","1.0","90.0","75.0","15.0","30.0","26.0","4.0","60.0","49.0","11.0","17.0","15.0","2.0"
"その他","7.0","8.0","1245.0","728.0","517.0","1220.0","716.0","504.0","25.0","12.0","13.0","397.0","278.0","119.0"
"その他_予備校","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"その他_自動車操縦","6.0","7.0","1220.0","716.0","504.0","1220.0","716.0","504.0","0.0","0.0","0.0","393.0","276.0","117.0"
"その他_外国人学校","1.0","1.0","25.0","12.0","13.0","0.0","0.0","0.0","25.0","12.0","13.0","4.0","2.0","2.0"
